abbazial	x	__
angal	x	__
anqual	x	__
artificial	x	__
associal	x	__
bainenqual	x	__
baininqual	o	__
beal	x	__
beinenqual	x	__
cal	x	__
canal	x	__
cantunal	x	__
capital	x	__
circuital	x	__
commercial	x	__
commual	x	__
cuntervial	?	__
cunvenziunal	x	__
curial	?	__
deal	?	__
deral	x	__
dictatorial	x	__
dual	o	__
egiunal	x	__
engual	x	__
enqual	x	__
fedeal	x	__
festal	x	__
flaival	x	__
floreal	o	__
functional	x	__
furmal	x	__
genial	x	__
général	x	__
hal	x	__
homosexual	x	__
inaugural	o	__
infurmal	x	__
international	?	__
interpersonal	x	__
itschal	x	__
lactual	?	__
lospital	x	__
magistral	?	__
mechanical	x	__
meinsanual	x	__
mescal	x	__
nal	x	__
nazinal	x	__
nunsocial	o	__
orchestral	o	__
ospidal	x	__
otgaval	x	__
patrunal	?	__
personal	x	__
pesunal	x	__
pial	x	__
pluricultural	o	__
presbiteral	x	__
primordial	x	__
prinzipal	x	__
revival	x	__
rial	x	__
royal	x	__
sectoral	x	__
secturial	x	__
segal	x	__
segnal	x	__
sozial	x	__
special	x	__
spirtal	x	__
superficial	x	__
survival	x	__
technical	x	__
terrestrial	x	__
tral	x	__
transnaziunal	o	__
tropical	x	__
tschabergal	x	__
ual	x	__
ufficial	x	__
umbrival	x	__
zal	x	__
zial	x	__
ziunal	x	__
zonal	o	__
